country,type,year,n
Costa Rica,Study,2007,11
Costa Rica,Study,2008,10
Costa Rica,Study,2009,23
Costa Rica,Study,2010,19
Costa Rica,Study,2011,20
Costa Rica,Study,2012,13
Costa Rica,Study,2013,15
Costa Rica,Study,2014,25
Costa Rica,Study,2015,23
Costa Rica,Work,2006,6
Costa Rica,Work,2007,4
Costa Rica,Work,2008,0
Costa Rica,Work,2009,2
Costa Rica,Work,2010,9
Costa Rica,Work,2011,8
Costa Rica,Work,2012,2
Costa Rica,Work,2013,2
Costa Rica,Work,2014,5
Costa Rica,Work,2015,5
Croatia,Asylum,2006,0
Croatia,Asylum,2007,0
Croatia,Asylum,2008,0
Croatia,Asylum,2009,0
Croatia,Asylum,2010,0
Croatia,Asylum,2011,4
Croatia,Asylum,2012,0
Croatia,Asylum,2013,0
Croatia,Asylum,2014,0
Croatia,Asylum,2015,0
Croatia,EU,2006,1
Croatia,EU,2007,0
Croatia,EU,2008,5
Croatia,EU,2009,3
Croatia,EU,2010,3
Croatia,EU,2011,1
Croatia,EU,2012,0
Croatia,EU,2013,151
Croatia,EU,2014,382
Croatia,EU,2015,529
Croatia,Family,2006,15
Croatia,Family,2007,13
Croatia,Family,2008,19
Croatia,Family,2009,10
Croatia,Family,2010,8
Croatia,Family,2011,9
Croatia,Family,2012,6
Croatia,Family,2013,3
Croatia,Family,2014,0
Croatia,Family,2015,3
Croatia,Other,2006,1
Croatia,Other,2007,0
Croatia,Other,2008,0
Croatia,Other,2009,1
Croatia,Other,2010,0
Croatia,Other,2011,0
Croatia,Other,2012,0
Croatia,Other,2013,0
Croatia,Other,2014,0
Croatia,Other,2015,0
Croatia,Study,2006,3
Croatia,Study,2007,11
Croatia,Study,2008,8
Croatia,Study,2009,9
Croatia,Study,2010,16
Croatia,Study,2011,20
Croatia,Study,2012,9
Croatia,Study,2013,2
Croatia,Study,2014,0
Croatia,Study,2015,0
Croatia,Work,2006,10
Croatia,Work,2007,26
Croatia,Work,2008,22
Croatia,Work,2009,19
Croatia,Work,2010,17
Croatia,Work,2011,47
Croatia,Work,2012,36
Croatia,Work,2013,17
Croatia,Work,2014,2
Croatia,Work,2015,2
Cuba,Asylum,2006,0
Cuba,Asylum,2007,0
Cuba,Asylum,2008,0
Cuba,Asylum,2009,0
Cuba,Asylum,2010,0
Cuba,Asylum,2011,0
Cuba,Asylum,2012,0
Cuba,Asylum,2013,0
Cuba,Asylum,2014,0
Cuba,Asylum,2015,0
Cuba,EU,2006,0
Cuba,EU,2007,2
Cuba,EU,2008,4
Cuba,EU,2009,0
Cuba,EU,2010,3
Cuba,EU,2011,2
Cuba,EU,2012,2
Cuba,EU,2013,0
Cuba,EU,2014,5
Cuba,EU,2015,1
Cuba,Family,2006,33
Cuba,Family,2007,29
Cuba,Family,2008,35
Cuba,Family,2009,23
Cuba,Family,2010,20
Cuba,Family,2011,12
Cuba,Family,2012,20
Cuba,Family,2013,26
Cuba,Family,2014,16
Cuba,Family,2015,11
Cuba,Other,2006,0
Cuba,Other,2007,0
Cuba,Other,2008,1
Cuba,Other,2009,0
Cuba,Other,2010,0
Cuba,Other,2011,1
Cuba,Other,2012,0
Cuba,Other,2013,1
Cuba,Other,2014,0
Cuba,Other,2015,0
Cuba,Study,2006,1
Cuba,Study,2007,3
Cuba,Study,2008,7
Cuba,Study,2009,4
Cuba,Study,2010,5
Cuba,Study,2011,8
Cuba,Study,2012,1
Cuba,Study,2013,0
Cuba,Study,2014,4
Cuba,Study,2015,4
Cuba,Work,2006,3
Cuba,Work,2007,5
Cuba,Work,2008,2
Cuba,Work,2009,7
Cuba,Work,2010,11
Cuba,Work,2011,9
Cuba,Work,2012,2
Cuba,Work,2013,3
Cuba,Work,2014,5
Cuba,Work,2015,5
Curacao,Asylum,2006,0
Curacao,Asylum,2007,0
Curacao,Asylum,2008,0
Curacao,Asylum,2009,0
Curacao,Asylum,2010,0
Curacao,Asylum,2011,0
Curacao,Asylum,2012,0
Curacao,Asylum,2013,0
Curacao,Asylum,2014,0
Curacao,Asylum,2015,0
Curacao,EU,2006,0
Curacao,EU,2007,0
Curacao,EU,2008,0
Curacao,EU,2009,0
Curacao,EU,2010,0
Curacao,EU,2011,0
Curacao,EU,2012,0
Curacao,EU,2013,0
Curacao,EU,2014,0
Curacao,EU,2015,0
Curacao,Family,2006,0
Curacao,Family,2007,0
Curacao,Family,2008,0
Curacao,Family,2009,0
Curacao,Family,2010,0
Curacao,Family,2011,0
Curacao,Family,2012,0
Curacao,Family,2013,0
Curacao,Family,2014,0
Curacao,Family,2015,0
Curacao,Other,2006,0
Curacao,Other,2007,0
Curacao,Other,2008,0
Curacao,Other,2009,0
Curacao,Other,2010,0
Curacao,Other,2011,0
Curacao,Other,2012,0
Curacao,Other,2013,0
Curacao,Other,2014,0
Curacao,Other,2015,0
Curacao,Study,2006,0
Curacao,Study,2007,0
Curacao,Study,2008,0
Curacao,Study,2009,0
Curacao,Study,2010,0
Curacao,Study,2011,0
Curacao,Study,2012,0
Curacao,Study,2013,0
Curacao,Study,2014,0
Curacao,Study,2015,0
Curacao,Work,2006,0
Curacao,Work,2007,0
Curacao,Work,2008,0
Curacao,Work,2009,0
Curacao,Work,2010,0
Curacao,Work,2011,0
Curacao,Work,2012,0
Curacao,Work,2013,0
Curacao,Work,2014,0
Curacao,Work,2015,0
Cyprus,Asylum,2006,0
Cyprus,Asylum,2007,0
Cyprus,Asylum,2008,0
Cyprus,Asylum,2009,0
Cyprus,Asylum,2010,0
Cyprus,Asylum,2011,0
Cyprus,Asylum,2012,0
Cyprus,Asylum,2013,0
Cyprus,Asylum,2014,0
Cyprus,Asylum,2015,0
Cyprus,EU,2006,2
Cyprus,EU,2007,11
Cyprus,EU,2008,8
Cyprus,EU,2009,8
Cyprus,EU,2010,10
Cyprus,EU,2011,8
Cyprus,EU,2012,19
Cyprus,EU,2013,24
Cyprus,EU,2014,30
Cyprus,EU,2015,37
Cyprus,Family,2006,1
Cyprus,Family,2007,0
Cyprus,Family,2008,0
Cyprus,Family,2009,0
Cyprus,Family,2010,0
Cyprus,Family,2011,0
Cyprus,Family,2012,0
Cyprus,Family,2013,1
Cyprus,Family,2014,0
Cyprus,Family,2015,0
Cyprus,Other,2006,0
Cyprus,Other,2007,0
Cyprus,Other,2008,1
Cyprus,Other,2009,0
Cyprus,Other,2010,0
Cyprus,Other,2011,0
Cyprus,Other,2012,0
Cyprus,Other,2013,0
Cyprus,Other,2014,0
Cyprus,Other,2015,0
Cyprus,Study,2006,0
Cyprus,Study,2007,0
Cyprus,Study,2008,0
Cyprus,Study,2009,0
Cyprus,Study,2010,0
Cyprus,Study,2011,0
Cyprus,Study,2012,0
Cyprus,Study,2013,0
Cyprus,Study,2014,0
Cyprus,Study,2015,0
Cyprus,Work,2006,0
Cyprus,Work,2007,0
Cyprus,Work,2008,1
Cyprus,Work,2009,0
Cyprus,Work,2010,0
Cyprus,Work,2011,0
Cyprus,Work,2012,0
Cyprus,Work,2013,0
Cyprus,Work,2014,0
Cyprus,Work,2015,0
Czech Republic,Asylum,2006,0
Czech Republic,Asylum,2007,0
Czech Republic,Asylum,2008,0
Czech Republic,Asylum,2009,0
Czech Republic,Asylum,2010,0
Czech Republic,Asylum,2011,0
Czech Republic,Asylum,2012,0
Czech Republic,Asylum,2013,0
Czech Republic,Asylum,2014,0
Czech Republic,Asylum,2015,0
Czech Republic,EU,2006,186
Czech Republic,EU,2007,190
Czech Republic,EU,2008,354
Czech Republic,EU,2009,332
Czech Republic,EU,2010,317
Czech Republic,EU,2011,405
Czech Republic,EU,2012,363
Czech Republic,EU,2013,364
Czech Republic,EU,2014,475
Czech Republic,EU,2015,584
Czech Republic,Family,2006,4
Czech Republic,Family,2007,5
Czech Republic,Family,2008,2
Czech Republic,Family,2009,2
Czech Republic,Family,2010,4
Czech Republic,Family,2011,2
Czech Republic,Family,2012,0
Czech Republic,Family,2013,1
Czech Republic,Family,2014,0
Czech Republic,Family,2015,0
Czech Republic,Other,2006,11
Czech Republic,Other,2007,8
Czech Republic,Other,2008,8
Czech Republic,Other,2009,7
Czech Republic,Other,2010,5
Czech Republic,Other,2011,4
Czech Republic,Other,2012,7
Czech Republic,Other,2013,7
Czech Republic,Other,2014,6
Czech Republic,Other,2015,3
Czech Republic,Study,2006,27
Czech Republic,Study,2007,28
Czech Republic,Study,2008,48
Czech Republic,Study,2009,37
Czech Republic,Study,2010,16
Czech Republic,Study,2011,1
Czech Republic,Study,2012,0
Czech Republic,Study,2013,0
Czech Republic,Study,2014,0
Czech Republic,Study,2015,0
Czech Republic,Work,2006,111
Czech Republic,Work,2007,123
Czech Republic,Work,2008,91
Czech Republic,Work,2009,10
Czech Republic,Work,2010,0
Czech Republic,Work,2011,1
Czech Republic,Work,2012,1
Czech Republic,Work,2013,0
Czech Republic,Work,2014,0
Czech Republic,Work,2015,3
Czechoslovakia,Asylum,2006,0
Czechoslovakia,Asylum,2007,0
Czechoslovakia,Asylum,2008,0
Czechoslovakia,Asylum,2009,0
Czechoslovakia,Asylum,2010,0
Czechoslovakia,Asylum,2011,0
Czechoslovakia,Asylum,2012,0
Czechoslovakia,Asylum,2013,0
Czechoslovakia,Asylum,2014,0
Czechoslovakia,Asylum,2015,0
Czechoslovakia,EU,2006,19
Czechoslovakia,EU,2007,0
Czechoslovakia,EU,2008,2
Czechoslovakia,EU,2009,0
Czechoslovakia,EU,2010,0
Czechoslovakia,EU,2011,0
Czechoslovakia,EU,2012,0
Czechoslovakia,EU,2013,0
Czechoslovakia,EU,2014,0
Czechoslovakia,EU,2015,1
Czechoslovakia,Family,2006,0
Czechoslovakia,Family,2007,0
Czechoslovakia,Family,2008,0
Czechoslovakia,Family,2009,0
Czechoslovakia,Family,2010,0
Czechoslovakia,Family,2011,0
Czechoslovakia,Family,2012,0
Czechoslovakia,Family,2013,0
Czechoslovakia,Family,2014,0
Czechoslovakia,Family,2015,0
Czechoslovakia,Other,2006,0
Czechoslovakia,Other,2007,0
Czechoslovakia,Other,2008,0
Czechoslovakia,Other,2009,0
Czechoslovakia,Other,2010,0
Czechoslovakia,Other,2011,0
Czechoslovakia,Other,2012,0
Czechoslovakia,Other,2013,0
Czechoslovakia,Other,2014,0
Czechoslovakia,Other,2015,0
Czechoslovakia,Study,2006,3
Czechoslovakia,Study,2007,0
Czechoslovakia,Study,2008,0
Czechoslovakia,Study,2009,0
Czechoslovakia,Study,2010,0
Czechoslovakia,Study,2011,0
Czechoslovakia,Study,2012,0
Czechoslovakia,Study,2013,0
Czechoslovakia,Study,2014,0
Czechoslovakia,Study,2015,0
Czechoslovakia,Work,2006,0
Czechoslovakia,Work,2007,0
Czechoslovakia,Work,2008,0
Czechoslovakia,Work,2009,0
Czechoslovakia,Work,2010,0
Czechoslovakia,Work,2011,0
Czechoslovakia,Work,2012,0
Czechoslovakia,Work,2013,0
Czechoslovakia,Work,2014,0
Czechoslovakia,Work,2015,0
Denmark,Asylum,2006,0
Denmark,Asylum,2007,0
Denmark,Asylum,2008,0
Denmark,Asylum,2009,0
Denmark,Asylum,2010,0
Denmark,Asylum,2011,0
Denmark,Asylum,2012,0
Denmark,Asylum,2013,0
Denmark,Asylum,2014,0
Denmark,Asylum,2015,0
Denmark,EU,2006,0
Denmark,EU,2007,0
Denmark,EU,2008,0
Denmark,EU,2009,0
Denmark,EU,2010,0
Denmark,EU,2011,0
Denmark,EU,2012,0
Denmark,EU,2013,0
Denmark,EU,2014,0
Denmark,EU,2015,0
Denmark,Family,2006,0
Denmark,Family,2007,0
Denmark,Family,2008,0
Denmark,Family,2009,0
Denmark,Family,2010,0
Denmark,Family,2011,0
Denmark,Family,2012,0
Denmark,Family,2013,0
Denmark,Family,2014,1
Denmark,Family,2015,0
Denmark,Other,2006,65
Denmark,Other,2007,4
Denmark,Other,2008,0
Denmark,Other,2009,3
Denmark,Other,2010,1
Denmark,Other,2011,0
Denmark,Other,2012,0
Denmark,Other,2013,0
Denmark,Other,2014,4
Denmark,Other,2015,0
Denmark,Study,2006,0
Denmark,Study,2007,0
Denmark,Study,2008,0
Denmark,Study,2009,0
Denmark,Study,2010,0
Denmark,Study,2011,0
Denmark,Study,2012,0
Denmark,Study,2013,0
Denmark,Study,2014,0
Denmark,Study,2015,0
Denmark,Work,2006,0
Denmark,Work,2007,0
Denmark,Work,2008,0
Denmark,Work,2009,0
Denmark,Work,2010,0
Denmark,Work,2011,0
Denmark,Work,2012,0
Denmark,Work,2013,0
Denmark,Work,2014,0
Denmark,Work,2015,0
Djibouti,Asylum,2006,0
Djibouti,Asylum,2007,0
Djibouti,Asylum,2008,0
Djibouti,Asylum,2009,0
Djibouti,Asylum,2010,0
Djibouti,Asylum,2011,0
Djibouti,Asylum,2012,0
Djibouti,Asylum,2013,1
Djibouti,Asylum,2014,0
Djibouti,Asylum,2015,0
Djibouti,EU,2006,0
Djibouti,EU,2007,0
Djibouti,EU,2008,0
Djibouti,EU,2009,0
Djibouti,EU,2010,0
Djibouti,EU,2011,0
Djibouti,EU,2012,0
Djibouti,EU,2013,0
Djibouti,EU,2014,0
Djibouti,EU,2015,0
Djibouti,Family,2006,0
Djibouti,Family,2007,0
Djibouti,Family,2008,1
Djibouti,Family,2009,0
Djibouti,Family,2010,0
Djibouti,Family,2011,0
Djibouti,Family,2012,0
Djibouti,Family,2013,0
Djibouti,Family,2014,0
Djibouti,Family,2015,0
Djibouti,Other,2006,0
Djibouti,Other,2007,0
Djibouti,Other,2008,0
Djibouti,Other,2009,0
Djibouti,Other,2010,0
Djibouti,Other,2011,0
Djibouti,Other,2012,0
Djibouti,Other,2013,0
Djibouti,Other,2014,0
Djibouti,Other,2015,0
Djibouti,Study,2006,0
Djibouti,Study,2007,0
Djibouti,Study,2008,0
Djibouti,Study,2009,0
Djibouti,Study,2010,0
Djibouti,Study,2011,0
Djibouti,Study,2012,0
Djibouti,Study,2013,0
Djibouti,Study,2014,0
Djibouti,Study,2015,0
Djibouti,Work,2006,0
Djibouti,Work,2007,0
Djibouti,Work,2008,0
Djibouti,Work,2009,0
Djibouti,Work,2010,0
Djibouti,Work,2011,0
Djibouti,Work,2012,0
Djibouti,Work,2013,0
Djibouti,Work,2014,0
Djibouti,Work,2015,0
Dominica,Asylum,2006,0
Dominica,Asylum,2007,0
Dominica,Asylum,2008,0
Dominica,Asylum,2009,0
Dominica,Asylum,2010,0
Dominica,Asylum,2011,0
Dominica,Asylum,2012,0
Dominica,Asylum,2013,0
Dominica,Asylum,2014,0
Dominica,Asylum,2015,0
Dominica,EU,2006,0
Dominica,EU,2007,0
Dominica,EU,2008,0
Dominica,EU,2009,0
Dominica,EU,2010,0
Dominica,EU,2011,0
Dominica,EU,2012,0
Dominica,EU,2013,0
Dominica,EU,2014,0
Dominica,EU,2015,0
Dominica,Family,2006,1
Dominica,Family,2007,0
Dominica,Family,2008,0
Dominica,Family,2009,0
Dominica,Family,2010,1
Dominica,Family,2011,0
Dominica,Family,2012,0
Dominica,Family,2013,1
Dominica,Family,2014,1
Dominica,Family,2015,0
Dominica,Other,2006,1
Dominica,Other,2007,0
Dominica,Other,2008,0
Dominica,Other,2009,0
Dominica,Other,2010,0
Dominica,Other,2011,0
Dominica,Other,2012,0
Dominica,Other,2013,0
Dominica,Other,2014,0
Dominica,Other,2015,0
Dominica,Study,2006,0
Dominica,Study,2007,2
Dominica,Study,2008,5
Dominica,Study,2009,1
Dominica,Study,2010,5
Dominica,Study,2011,1
Dominica,Study,2012,3
Dominica,Study,2013,0
Dominica,Study,2014,0
Dominica,Study,2015,1
Dominica,Work,2006,0
Dominica,Work,2007,0
Dominica,Work,2008,0
Dominica,Work,2009,0
Dominica,Work,2010,1
Dominica,Work,2011,2
Dominica,Work,2012,1
Dominica,Work,2013,0
Dominica,Work,2014,1
Dominica,Work,2015,2
Dominican Republic,Asylum,2006,0
Dominican Republic,Asylum,2007,0
Dominican Republic,Asylum,2008,0
Dominican Republic,Asylum,2009,0
Dominican Republic,Asylum,2010,0
Dominican Republic,Asylum,2011,0
Dominican Republic,Asylum,2012,0
Dominican Republic,Asylum,2013,0
Dominican Republic,Asylum,2014,0
Dominican Republic,Asylum,2015,0
Dominican Republic,EU,2006,0
Dominican Republic,EU,2007,1
Dominican Republic,EU,2008,0
Dominican Republic,EU,2009,1
Dominican Republic,EU,2010,4
Dominican Republic,EU,2011,2
Dominican Republic,EU,2012,0
Dominican Republic,EU,2013,0
Dominican Republic,EU,2014,0
Dominican Republic,EU,2015,2
Dominican Republic,Family,2006,3
Dominican Republic,Family,2007,1
Dominican Republic,Family,2008,5
Dominican Republic,Family,2009,6
Dominican Republic,Family,2010,3
Dominican Republic,Family,2011,5
Dominican Republic,Family,2012,4
Dominican Republic,Family,2013,6
Dominican Republic,Family,2014,5
Dominican Republic,Family,2015,5
Dominican Republic,Other,2006,0
Dominican Republic,Other,2007,0
Dominican Republic,Other,2008,0
Dominican Republic,Other,2009,0
Dominican Republic,Other,2010,1
Dominican Republic,Other,2011,0
Dominican Republic,Other,2012,0
Dominican Republic,Other,2013,0
Dominican Republic,Other,2014,0
Dominican Republic,Other,2015,0
Dominican Republic,Study,2006,4
Dominican Republic,Study,2007,6
Dominican Republic,Study,2008,2
Dominican Republic,Study,2009,3
Dominican Republic,Study,2010,2
Dominican Republic,Study,2011,1
Dominican Republic,Study,2012,2
Dominican Republic,Study,2013,1
Dominican Republic,Study,2014,3
Dominican Republic,Study,2015,3
Dominican Republic,Work,2006,1
Dominican Republic,Work,2007,0
Dominican Republic,Work,2008,1
Dominican Republic,Work,2009,0
Dominican Republic,Work,2010,0
Dominican Republic,Work,2011,3
Dominican Republic,Work,2012,0
Dominican Republic,Work,2013,1
Dominican Republic,Work,2014,1
Dominican Republic,Work,2015,2
Dubai,Asylum,2006,0
Dubai,Asylum,2007,0
Dubai,Asylum,2008,0
Dubai,Asylum,2009,0
Dubai,Asylum,2010,0
Dubai,Asylum,2011,0
Dubai,Asylum,2012,0
Dubai,Asylum,2013,0
Dubai,Asylum,2014,0
Dubai,Asylum,2015,0
Dubai,EU,2006,0
Dubai,EU,2007,0
Dubai,EU,2008,0
Dubai,EU,2009,0
Dubai,EU,2010,0
Dubai,EU,2011,0
Dubai,EU,2012,0
Dubai,EU,2013,0
Dubai,EU,2014,0
Dubai,EU,2015,0
Dubai,Family,2006,0
Dubai,Family,2007,0
Dubai,Family,2008,0
Dubai,Family,2009,0
Dubai,Family,2010,0
Dubai,Family,2011,0
Dubai,Family,2012,0
Dubai,Family,2013,0
Dubai,Family,2014,0
Dubai,Family,2015,0
Dubai,Other,2006,0
Dubai,Other,2007,0
Dubai,Other,2008,0
Dubai,Other,2009,0
Dubai,Other,2010,0
Dubai,Other,2011,0
Dubai,Other,2012,0
Dubai,Other,2013,0
Dubai,Other,2014,0
Dubai,Other,2015,0
Dubai,Study,2006,0
Dubai,Study,2007,0
Dubai,Study,2008,0
Dubai,Study,2009,0
Dubai,Study,2010,0
Dubai,Study,2011,0
Dubai,Study,2012,0
Dubai,Study,2013,0
Dubai,Study,2014,0
Dubai,Study,2015,0
Dubai,Work,2006,0
Dubai,Work,2007,0
Dubai,Work,2008,0
Dubai,Work,2009,0
Dubai,Work,2010,0
Dubai,Work,2011,0
Dubai,Work,2012,0
Dubai,Work,2013,0
Dubai,Work,2014,0
Dubai,Work,2015,0
East Timor,Asylum,2006,0
East Timor,Asylum,2007,0
East Timor,Asylum,2008,0
East Timor,Asylum,2009,0
East Timor,Asylum,2010,0
East Timor,Asylum,2011,0
East Timor,Asylum,2012,0
East Timor,Asylum,2013,0
East Timor,Asylum,2014,0
East Timor,Asylum,2015,0
East Timor,EU,2006,0
East Timor,EU,2007,0
East Timor,EU,2008,0
East Timor,EU,2009,0
East Timor,EU,2010,0
East Timor,EU,2011,0
East Timor,EU,2012,0
East Timor,EU,2013,0
East Timor,EU,2014,0
East Timor,EU,2015,0
East Timor,Family,2006,0
East Timor,Family,2007,0
East Timor,Family,2008,0
East Timor,Family,2009,0
East Timor,Family,2010,0
East Timor,Family,2011,0
East Timor,Family,2012,0
East Timor,Family,2013,0
East Timor,Family,2014,0
East Timor,Family,2015,0
East Timor,Other,2006,0
East Timor,Other,2007,0
East Timor,Other,2008,0
East Timor,Other,2009,0
East Timor,Other,2010,0
East Timor,Other,2011,0
East Timor,Other,2012,0
East Timor,Other,2013,0
East Timor,Other,2014,0
East Timor,Other,2015,0
East Timor,Study,2006,0
East Timor,Study,2007,0
East Timor,Study,2008,0
East Timor,Study,2009,0
East Timor,Study,2010,0
East Timor,Study,2011,0
East Timor,Study,2012,0
East Timor,Study,2013,0
East Timor,Study,2014,0
East Timor,Study,2015,0
East Timor,Work,2006,0
East Timor,Work,2007,0
East Timor,Work,2008,0
East Timor,Work,2009,0
East Timor,Work,2010,0
East Timor,Work,2011,0
East Timor,Work,2012,0
East Timor,Work,2013,0
East Timor,Work,2014,0
East Timor,Work,2015,0
Ecuador,Asylum,2006,0
Ecuador,Asylum,2007,0
Ecuador,Asylum,2008,0
Ecuador,Asylum,2009,0
Ecuador,Asylum,2010,0
Ecuador,Asylum,2011,0
Ecuador,Asylum,2012,7
Ecuador,Asylum,2013,0
Ecuador,Asylum,2014,5
Ecuador,Asylum,2015,0
Ecuador,EU,2006,0
Ecuador,EU,2007,0
Ecuador,EU,2008,0
Ecuador,EU,2009,2
Ecuador,EU,2010,0
Ecuador,EU,2011,2
Ecuador,EU,2012,2
Ecuador,EU,2013,2
Ecuador,EU,2014,0
Ecuador,EU,2015,1
Ecuador,Family,2006,6
Ecuador,Family,2007,5
Ecuador,Family,2008,7
Ecuador,Family,2009,12
Ecuador,Family,2010,14
Ecuador,Family,2011,5
Ecuador,Family,2012,4
Ecuador,Family,2013,7
Ecuador,Family,2014,7
Ecuador,Family,2015,5
Ecuador,Other,2006,0
Ecuador,Other,2007,0
Ecuador,Other,2008,1
Ecuador,Other,2009,0
Ecuador,Other,2010,0
Ecuador,Other,2011,0
Ecuador,Other,2012,0
Ecuador,Other,2013,0
Ecuador,Other,2014,0
Ecuador,Other,2015,0
Ecuador,Study,2006,16
Ecuador,Study,2007,14
Ecuador,Study,2008,17
Ecuador,Study,2009,15
Ecuador,Study,2010,19
Ecuador,Study,2011,12
Ecuador,Study,2012,20
Ecuador,Study,2013,20
Ecuador,Study,2014,26
Ecuador,Study,2015,19
Ecuador,Work,2006,6
Ecuador,Work,2007,3
Ecuador,Work,2008,2
Ecuador,Work,2009,5
Ecuador,Work,2010,9
Ecuador,Work,2011,4
Ecuador,Work,2012,2
Ecuador,Work,2013,4
Ecuador,Work,2014,3
Ecuador,Work,2015,3
Egypt,Asylum,2006,2
Egypt,Asylum,2007,0
Egypt,Asylum,2008,0
Egypt,Asylum,2009,0
Egypt,Asylum,2010,0
Egypt,Asylum,2011,0
Egypt,Asylum,2012,0
Egypt,Asylum,2013,0
Egypt,Asylum,2014,0
Egypt,Asylum,2015,6
Egypt,EU,2006,1
Egypt,EU,2007,2
Egypt,EU,2008,1
Egypt,EU,2009,4
Egypt,EU,2010,2
Egypt,EU,2011,3
Egypt,EU,2012,2
Egypt,EU,2013,4
Egypt,EU,2014,5
Egypt,EU,2015,2
Egypt,Family,2006,27
Egypt,Family,2007,40
Egypt,Family,2008,38
Egypt,Family,2009,24
Egypt,Family,2010,34
Egypt,Family,2011,26
Egypt,Family,2012,30
Egypt,Family,2013,42
Egypt,Family,2014,32
Egypt,Family,2015,27
Egypt,Other,2006,0
Egypt,Other,2007,1
Egypt,Other,2008,0
Egypt,Other,2009,1
Egypt,Other,2010,1
Egypt,Other,2011,1
Egypt,Other,2012,1
Egypt,Other,2013,0
Egypt,Other,2014,3
Egypt,Other,2015,0
Egypt,Study,2006,12
Egypt,Study,2007,14
Egypt,Study,2008,29
Egypt,Study,2009,13
Egypt,Study,2010,14
Egypt,Study,2011,20
Egypt,Study,2012,25
Egypt,Study,2013,36
Egypt,Study,2014,26
Egypt,Study,2015,46
Egypt,Work,2006,17
Egypt,Work,2007,23
Egypt,Work,2008,19
Egypt,Work,2009,34
Egypt,Work,2010,38
Egypt,Work,2011,42
Egypt,Work,2012,47
Egypt,Work,2013,85
Egypt,Work,2014,96
Egypt,Work,2015,78
El Salvador,Asylum,2006,0
El Salvador,Asylum,2007,0
El Salvador,Asylum,2008,0
El Salvador,Asylum,2009,0
El Salvador,Asylum,2010,0
El Salvador,Asylum,2011,0
El Salvador,Asylum,2012,0
El Salvador,Asylum,2013,0
El Salvador,Asylum,2014,0
El Salvador,Asylum,2015,0
El Salvador,EU,2006,0
El Salvador,EU,2007,0
El Salvador,EU,2008,0
El Salvador,EU,2009,0
El Salvador,EU,2010,1
El Salvador,EU,2011,0
El Salvador,EU,2012,0
El Salvador,EU,2013,0
El Salvador,EU,2014,1
El Salvador,EU,2015,0
El Salvador,Family,2006,2
El Salvador,Family,2007,3
El Salvador,Family,2008,2
El Salvador,Family,2009,1
El Salvador,Family,2010,3
El Salvador,Family,2011,0
El Salvador,Family,2012,1
El Salvador,Family,2013,1
El Salvador,Family,2014,0
El Salvador,Family,2015,3
El Salvador,Other,2006,0
El Salvador,Other,2007,0
El Salvador,Other,2008,0
El Salvador,Other,2009,0
El Salvador,Other,2010,0
El Salvador,Other,2011,0
El Salvador,Other,2012,0
El Salvador,Other,2013,0
El Salvador,Other,2014,0
El Salvador,Other,2015,0
El Salvador,Study,2006,0
El Salvador,Study,2007,2
El Salvador,Study,2008,1
El Salvador,Study,2009,0
El Salvador,Study,2010,0
El Salvador,Study,2011,0
El Salvador,Study,2012,0
El Salvador,Study,2013,1
El Salvador,Study,2014,0
El Salvador,Study,2015,2
El Salvador,Work,2006,4
El Salvador,Work,2007,1
El Salvador,Work,2008,1
El Salvador,Work,2009,0
El Salvador,Work,2010,4
El Salvador,Work,2011,3
El Salvador,Work,2012,4
El Salvador,Work,2013,9
El Salvador,Work,2014,1
El Salvador,Work,2015,0
Equatorial Guinea,Asylum,2006,0
Equatorial Guinea,Asylum,2007,0
Equatorial Guinea,Asylum,2008,0
Equatorial Guinea,Asylum,2009,0
Equatorial Guinea,Asylum,2010,0
Equatorial Guinea,Asylum,2011,0
Equatorial Guinea,Asylum,2012,0
Equatorial Guinea,Asylum,2013,0
Equatorial Guinea,Asylum,2014,0
Equatorial Guinea,Asylum,2015,0
Equatorial Guinea,EU,2006,0
Equatorial Guinea,EU,2007,0
Equatorial Guinea,EU,2008,0
Equatorial Guinea,EU,2009,0
Equatorial Guinea,EU,2010,0
Equatorial Guinea,EU,2011,0
Equatorial Guinea,EU,2012,0
Equatorial Guinea,EU,2013,0
Equatorial Guinea,EU,2014,1
Equatorial Guinea,EU,2015,0
Equatorial Guinea,Family,2006,0
Equatorial Guinea,Family,2007,2
Equatorial Guinea,Family,2008,1
Equatorial Guinea,Family,2009,0
Equatorial Guinea,Family,2010,0
Equatorial Guinea,Family,2011,0
Equatorial Guinea,Family,2012,0
Equatorial Guinea,Family,2013,0
Equatorial Guinea,Family,2014,0
Equatorial Guinea,Family,2015,1
Equatorial Guinea,Other,2006,0
Equatorial Guinea,Other,2007,0
Equatorial Guinea,Other,2008,0
Equatorial Guinea,Other,2009,0
Equatorial Guinea,Other,2010,0
Equatorial Guinea,Other,2011,0
Equatorial Guinea,Other,2012,0
Equatorial Guinea,Other,2013,0
Equatorial Guinea,Other,2014,0
Equatorial Guinea,Other,2015,0
Equatorial Guinea,Study,2006,0
Equatorial Guinea,Study,2007,0
Equatorial Guinea,Study,2008,0
Equatorial Guinea,Study,2009,0
Equatorial Guinea,Study,2010,0
Equatorial Guinea,Study,2011,0
Equatorial Guinea,Study,2012,0
Equatorial Guinea,Study,2013,0
Equatorial Guinea,Study,2014,0
Equatorial Guinea,Study,2015,0
